File: cap_0001.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0    36    24  00100100
       1    37    25  00100101
       2    37    25  00100101
       3    37    25  00100101
       4     7     7  00000111
       5    40    28  00101000
       6    31    1f  00011111
       7    35    23  00100011
       8   125    7d  01111101
       9   251    fb  11111011
      10   121    79  01111001
      11   255    ff  11111111
      12     0     0  00000000
      13   251    fb  11111011
      14   121    79  01111001
      15     0     0  00000000
      16   123    7b  01111011
      17   251    fb  11111011
      18   127    7f  01111111
      19   253    fd  11111101
      20   125    7d  01111101
      21   255    ff  11111111
      22   127    7f  01111111
      23   252    fc  11111100
      24   125    7d  01111101
      25   255    ff  11111111
      26   127    7f  01111111
      27   253    fd  11111101
      28   253    fd  11111101
      29   255    ff  11111111
      30   255    ff  11111111
      31   253    fd  11111101
      32   253    fd  11111101
      33   254    fe  11111110
      34   255    ff  11111111
      35   253    fd  11111101
      36   253    fd  11111101
      37   255    ff  11111111
      38   255    ff  11111111
      39   253    fd  11111101
      40   253    fd  11111101
      41   126    7e  01111110
      42   255    ff  11111111
      43   253    fd  11111101
      44   253    fd  11111101
      45   127    7f  01111111
      46   255    ff  11111111
      47   125    7d  01111101
      48   253    fd  11111101
      49   127    7f  01111111
      50   255    ff  11111111
      51   125    7d  01111101
      52   253    fd  11111101
      53   254    fe  11111110
      54   255    ff  11111111
      55   125    7d  01111101
      56   207    cf  11001111
      57   247    f7  11110111
      58   255    ff  11111111
      59   253    fd  11111101
      60    52    34  00110100
      61    48    30  00110000
      62    47    2f  00101111
      63   207    cf  11001111
      64    48    30  00110000
      65    49    31  00110001
      66    51    33  00110011
      67    54    36  00110110
      68    44    2c  00101100
      69    45    2d  00101101
      70    46    2e  00101110
      71    47    2f  00101111
      72    41    29  00101001
      73    41    29  00101001
      74    41    29  00101001
      75    43    2b  00101011
      76    40    28  00101000
      77    40    28  00101000
      78    40    28  00101000
      79    40    28  00101000
      80    39    27  00100111
      81    38    26  00100110
      82    39    27  00100111
      83    40    28  00101000
      84    36    24  00100100
      85    36    24  00100100
      86    37    25  00100101
      87    37    25  00100101
      88    36    24  00100100
      89    35    23  00100011
      90    35    23  00100011
      91    36    24  00100100
      92    36    24  00100100
      93    35    23  00100011
      94    35    23  00100011
      95    35    23  00100011
      96    36    24  00100100
      97    35    23  00100011
      98    35    23  00100011
      99    35    23  00100011
     100    36    24  00100100
     101    35    23  00100011
     102    35    23  00100011
     103    35    23  00100011
     104    36    24  00100100
     105    35    23  00100011
     106    35    23  00100011
     107    35    23  00100011
     108    36    24  00100100
     109    35    23  00100011
     110    35    23  00100011
     111    35    23  00100011
     112    36    24  00100100
     113    35    23  00100011
     114    35    23  00100011
     115    35    23  00100011
     116    36    24  00100100
     117    35    23  00100011
     118    35    23  00100011
     119    35    23  00100011
     120    36    24  00100100
     121    35    23  00100011
     122    35    23  00100011
     123    35    23  00100011
     124    36    24  00100100
     125    35    23  00100011
     126    35    23  00100011
