File: cap_0008.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0    64    40  01000000
       1   253    fd  11111101
       2   125    7d  01111101
       3   253    fd  11111101
       4    64    40  01000000
       5    32    20  00100000
       6    55    37  00110111
       7   255    ff  11111111
       8     0     0  00000000
       9     0     0  00000000
      10   123    7b  01111011
      11   255    ff  11111111
      12   224    e0  11100000
      13   234    ea  11101010
      14     0     0  00000000
      15     0     0  00000000
      16   254    fe  11111110
      17   255    ff  11111111
      18   253    fd  11111101
      19   252    fc  11111100
      20   223    df  11011111
      21   255    ff  11111111
      22   253    fd  11111101
      23   253    fd  11111101
      24   255    ff  11111111
      25   125    7d  01111101
      26   253    fd  11111101
      27   253    fd  11111101
      28   251    fb  11111011
      29   125    7d  01111101
      30   253    fd  11111101
      31   125    7d  01111101
      32   255    ff  11111111
      33   125    7d  01111101
      34   254    fe  11111110
      35   125    7d  01111101
      36   255    ff  11111111
      37   253    fd  11111101
      38   254    fe  11111110
      39   253    fd  11111101
      40   255    ff  11111111
      41   253    fd  11111101
      42   254    fe  11111110
      43   253    fd  11111101
      44   255    ff  11111111
      45   253    fd  11111101
      46   254    fe  11111110
      47   253    fd  11111101
      48   127    7f  01111111
      49   253    fd  11111101
      50   254    fe  11111110
      51   254    fe  11111110
      52   127    7f  01111111
      53   253    fd  11111101
      54   127    7f  01111111
      55   254    fe  11111110
      56    87    57  01010111
      57   215    d7  11010111
      58   119    77  01110111
      59   254    fe  11111110
      60    16    10  00010000
      61    17    11  00010001
      62    21    15  00010101
      63    31    1f  00011111
      64    16    10  00010000
      65    17    11  00010001
      66    17    11  00010001
      67    16    10  00010000
      68    16    10  00010000
      69    16    10  00010000
      70    17    11  00010001
      71    17    11  00010001
      72    16    10  00010000
      73    16    10  00010000
      74    17    11  00010001
      75    17    11  00010001
      76    16    10  00010000
      77    16    10  00010000
      78    17    11  00010001
      79    16    10  00010000
      80    16    10  00010000
      81    16    10  00010000
      82    17    11  00010001
      83    17    11  00010001
      84    16    10  00010000
      85    16    10  00010000
      86    17    11  00010001
      87    17    11  00010001
      88    16    10  00010000
      89    16    10  00010000
      90    17    11  00010001
      91    17    11  00010001
      92    16    10  00010000
      93    16    10  00010000
      94    17    11  00010001
      95    17    11  00010001
      96    16    10  00010000
      97    16    10  00010000
      98    17    11  00010001
      99    17    11  00010001
     100    16    10  00010000
     101    16    10  00010000
     102    17    11  00010001
     103    17    11  00010001
     104    16    10  00010000
     105    16    10  00010000
     106    17    11  00010001
     107    17    11  00010001
     108    17    11  00010001
     109    16    10  00010000
     110    17    11  00010001
     111    17    11  00010001
     112    16    10  00010000
     113    17    11  00010001
     114    17    11  00010001
     115    17    11  00010001
     116    17    11  00010001
     117    17    11  00010001
     118    17    11  00010001
     119    17    11  00010001
     120    16    10  00010000
     121    16    10  00010000
     122    17    11  00010001
     123    17    11  00010001
     124    17    11  00010001
     125    17    11  00010001
     126    17    11  00010001
     127    17    11  00010001
     128    17    11  00010001
     129    17    11  00010001
     130    17    11  00010001
     131    17    11  00010001
     132    17    11  00010001
     133    17    11  00010001
     134    17    11  00010001
     135    17    11  00010001
     136    17    11  00010001
     137    17    11  00010001
     138    17    11  00010001
     139    17    11  00010001
     140    17    11  00010001
     141    17    11  00010001
     142    17    11  00010001
     143    17    11  00010001
     144    17    11  00010001
     145    17    11  00010001
     146    17    11  00010001
     147    17    11  00010001
     148    17    11  00010001
     149    17    11  00010001
     150    17    11  00010001
     151    17    11  00010001
     152    17    11  00010001
     153    17    11  00010001
     154    17    11  00010001
     155    17    11  00010001
     156    17    11  00010001
     157    17    11  00010001
     158    17    11  00010001
     159    17    11  00010001
     160    17    11  00010001
     161    17    11  00010001
     162    17    11  00010001
     163    17    11  00010001
     164    17    11  00010001
     165    17    11  00010001
     166    17    11  00010001
     167    17    11  00010001
     168    17    11  00010001
     169    17    11  00010001
     170    17    11  00010001
     171    17    11  00010001
     172    17    11  00010001
     173    17    11  00010001
     174    17    11  00010001
     175    17    11  00010001
     176    17    11  00010001
     177    17    11  00010001
     178    17    11  00010001
     179    17    11  00010001
     180    17    11  00010001
     181    17    11  00010001
     182    17    11  00010001
     183    17    11  00010001
     184    17    11  00010001
     185    17    11  00010001
     186    17    11  00010001
     187    17    11  00010001
     188    17    11  00010001
     189    17    11  00010001
     190    17    11  00010001
     191    17    11  00010001
     192    17    11  00010001
     193    17    11  00010001
     194    17    11  00010001
     195    17    11  00010001
     196    17    11  00010001
     197    17    11  00010001
     198    17    11  00010001
     199    17    11  00010001
     200    17    11  00010001
     201    17    11  00010001
     202    17    11  00010001
     203    17    11  00010001
     204    17    11  00010001
     205    17    11  00010001
     206    17    11  00010001
     207    17    11  00010001
     208    17    11  00010001
     209    17    11  00010001
     210    17    11  00010001
     211    17    11  00010001
     212    17    11  00010001
     213    17    11  00010001
     214    17    11  00010001
     215    17    11  00010001
     216    17    11  00010001
     217    17    11  00010001
     218    17    11  00010001
     219    17    11  00010001
     220    17    11  00010001
     221    17    11  00010001
     222    17    11  00010001
     223    17    11  00010001
     224    17    11  00010001
     225    17    11  00010001
     226    17    11  00010001
     227    17    11  00010001
     228    17    11  00010001
     229    17    11  00010001
     230    17    11  00010001
     231    17    11  00010001
     232    17    11  00010001
     233    17    11  00010001
     234    17    11  00010001
     235    17    11  00010001
     236    17    11  00010001
     237    17    11  00010001
     238    17    11  00010001
     239    17    11  00010001
     240    17    11  00010001
     241    17    11  00010001
     242    17    11  00010001
     243    17    11  00010001
     244    17    11  00010001
     245    17    11  00010001
     246    17    11  00010001
     247    17    11  00010001
     248    17    11  00010001
     249    17    11  00010001
     250    17    11  00010001
     251    17    11  00010001
     252    17    11  00010001
     253    17    11  00010001
     254    17    11  00010001
     255    17    11  00010001
     256    17    11  00010001
     257    17    11  00010001
     258    17    11  00010001
     259    17    11  00010001
     260    17    11  00010001
     261    17    11  00010001
     262    17    11  00010001
     263    17    11  00010001
     264    17    11  00010001
     265    17    11  00010001
     266    18    12  00010010
     267    17    11  00010001
     268    17    11  00010001
     269    17    11  00010001
     270    17    11  00010001
     271    17    11  00010001
     272    17    11  00010001
     273    17    11  00010001
     274    18    12  00010010
     275    17    11  00010001
     276    17    11  00010001
     277    17    11  00010001
     278    18    12  00010010
     279    17    11  00010001
     280    17    11  00010001
     281    17    11  00010001
     282    17    11  00010001
     283    17    11  00010001
     284    17    11  00010001
     285    17    11  00010001
     286    17    11  00010001
     287    17    11  00010001
     288    17    11  00010001
     289    17    11  00010001
     290    18    12  00010010
     291    17    11  00010001
     292    17    11  00010001
     293    17    11  00010001
     294    18    12  00010010
     295    17    11  00010001
     296    17    11  00010001
     297    17    11  00010001
     298    18    12  00010010
     299    17    11  00010001
     300    17    11  00010001
     301    17    11  00010001
     302    18    12  00010010
     303    17    11  00010001
     304    17    11  00010001
     305    17    11  00010001
     306    18    12  00010010
     307    17    11  00010001
     308    17    11  00010001
     309    17    11  00010001
     310    18    12  00010010
     311    17    11  00010001
     312    17    11  00010001
     313    17    11  00010001
     314    18    12  00010010
     315    17    11  00010001
     316    17    11  00010001
     317    17    11  00010001
     318    18    12  00010010
     319    17    11  00010001
     320    17    11  00010001
     321    17    11  00010001
     322    18    12  00010010
     323    17    11  00010001
     324    17    11  00010001
     325    17    11  00010001
     326    18    12  00010010
     327    17    11  00010001
     328    17    11  00010001
     329    17    11  00010001
     330    18    12  00010010
     331    17    11  00010001
     332    17    11  00010001
     333    17    11  00010001
     334    18    12  00010010
     335    17    11  00010001
     336    17    11  00010001
     337    17    11  00010001
     338    18    12  00010010
     339    17    11  00010001
     340    17    11  00010001
     341    17    11  00010001
     342    18    12  00010010
     343    17    11  00010001
     344    17    11  00010001
     345    17    11  00010001
     346    18    12  00010010
     347    17    11  00010001
     348    17    11  00010001
     349    17    11  00010001
     350    17    11  00010001
     351    17    11  00010001
     352    17    11  00010001
     353    17    11  00010001
     354    18    12  00010010
     355    17    11  00010001
     356    17    11  00010001
     357    17    11  00010001
     358    17    11  00010001
     359    17    11  00010001
     360    17    11  00010001
     361    17    11  00010001
     362    18    12  00010010
     363    17    11  00010001
     364    17    11  00010001
     365    17    11  00010001
     366    17    11  00010001
     367    17    11  00010001
     368    17    11  00010001
     369    17    11  00010001
     370    17    11  00010001
     371    17    11  00010001
     372    17    11  00010001
     373    17    11  00010001
     374    17    11  00010001
     375    17    11  00010001
     376    17    11  00010001
     377    17    11  00010001
     378    17    11  00010001
     379    17    11  00010001
     380    17    11  00010001
     381    17    11  00010001
     382    17    11  00010001
     383    17    11  00010001
     384    17    11  00010001
     385    17    11  00010001
     386    17    11  00010001
     387    17    11  00010001
     388    17    11  00010001
     389    17    11  00010001
     390    17    11  00010001
     391    17    11  00010001
     392    17    11  00010001
     393    17    11  00010001
     394    17    11  00010001
     395    17    11  00010001
     396    17    11  00010001
     397    17    11  00010001
     398    17    11  00010001
     399    17    11  00010001
     400    17    11  00010001
     401    17    11  00010001
     402    17    11  00010001
     403    17    11  00010001
     404    17    11  00010001
     405    17    11  00010001
     406    17    11  00010001
     407    17    11  00010001
     408    17    11  00010001
     409    17    11  00010001
     410    17    11  00010001
     411    17    11  00010001
     412    17    11  00010001
     413    17    11  00010001
     414    17    11  00010001
     415    17    11  00010001
     416    17    11  00010001
     417    17    11  00010001
     418    17    11  00010001
     419    17    11  00010001
     420    17    11  00010001
     421    17    11  00010001
     422    17    11  00010001
     423    17    11  00010001
     424    17    11  00010001
