File: cap_0009.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0    32    20  00100000
       1    55    37  00110111
       2    55    37  00110111
       3    55    37  00110111
       4     8     8  00001000
       5     0     0  00000000
       6    31    1f  00011111
       7   127    7f  01111111
       8     0     0  00000000
       9     0     0  00000000
      10   249    f9  11111001
      11   192    c0  11000000
      12   234    ea  11101010
      13   225    e1  11100001
      14     0     0  00000000
      15     0     0  00000000
      16   124    7c  01111100
      17   253    fd  11111101
      18   251    fb  11111011
      19     0     0  00000000
      20   122    7a  01111010
      21   253    fd  11111101
      22   125    7d  01111101
      23   245    f5  11110101
      24   255    ff  11111111
      25   254    fe  11111110
      26   253    fd  11111101
      27   253    fd  11111101
      28   255    ff  11111111
      29   254    fe  11111110
      30   255    ff  11111111
      31   254    fe  11111110
      32   255    ff  11111111
      33   255    ff  11111111
      34   253    fd  11111101
      35   254    fe  11111110
      36   255    ff  11111111
      37   127    7f  01111111
      38   255    ff  11111111
      39   126    7e  01111110
      40   255    ff  11111111
      41   127    7f  01111111
      42   255    ff  11111111
      43   126    7e  01111110
      44   255    ff  11111111
      45   127    7f  01111111
      46   255    ff  11111111
      47   126    7e  01111110
      48   255    ff  11111111
      49   255    ff  11111111
      50   255    ff  11111111
      51   254    fe  11111110
      52   247    f7  11110111
      53   255    ff  11111111
      54   255    ff  11111111
      55   254    fe  11111110
      56    47    2f  00101111
      57   247    f7  11110111
      58   247    f7  11110111
      59   238    ee  11101110
      60     2     2  00000010
      61     3     3  00000011
      62     3     3  00000011
      63    15     f  00001111
      64     2     2  00000010
      65     3     3  00000011
      66     3     3  00000011
      67     2     2  00000010
      68     3     3  00000011
      69     3     3  00000011
      70     3     3  00000011
      71     3     3  00000011
      72     3     3  00000011
      73     3     3  00000011
      74     3     3  00000011
      75     3     3  00000011
      76     3     3  00000011
      77     4     4  00000100
      78     4     4  00000100
      79     3     3  00000011
      80     3     3  00000011
      81     4     4  00000100
      82     4     4  00000100
      83     3     3  00000011
      84     4     4  00000100
      85     4     4  00000100
      86     4     4  00000100
      87     4     4  00000100
      88     4     4  00000100
      89     4     4  00000100
      90     4     4  00000100
      91     4     4  00000100
      92     4     4  00000100
