File: cap_0001.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   228    e4  11100100
       1    61    3d  00111101
       2    61    3d  00111101
       3    61    3d  00111101
       4     8     8  00001000
       5    59    3b  00111011
       6     0     0  00000000
       7   255    ff  11111111
       8     0     0  00000000
       9     0     0  00000000
      10   247    f7  11110111
      11   248    f8  11111000
      12   251    fb  11111011
      13   255    ff  11111111
      14     0     0  00000000
      15     0     0  00000000
      16   255    ff  11111111
      17     0     0  00000000
      18   253    fd  11111101
      19   251    fb  11111011
      20   251    fb  11111011
      21   255    ff  11111111
      22   253    fd  11111101
      23   252    fc  11111100
      24   255    ff  11111111
      25   255    ff  11111111
      26   252    fc  11111100
      27   251    fb  11111011
      28   255    ff  11111111
      29   255    ff  11111111
      30   253    fd  11111101
      31   253    fd  11111101
      32   255    ff  11111111
      33   255    ff  11111111
      34   253    fd  11111101
      35   253    fd  11111101
      36   255    ff  11111111
      37   255    ff  11111111
      38   253    fd  11111101
      39   253    fd  11111101
      40   255    ff  11111111
      41   254    fe  11111110
      42   253    fd  11111101
      43   253    fd  11111101
      44   255    ff  11111111
      45   254    fe  11111110
      46   253    fd  11111101
      47   253    fd  11111101
      48   255    ff  11111111
      49   254    fe  11111110
      50   254    fe  11111110
      51   253    fd  11111101
      52   255    ff  11111111
      53   254    fe  11111110
      54   253    fd  11111101
      55   253    fd  11111101
      56   247    f7  11110111
      57   223    df  11011111
      58   253    fd  11111101
      59   253    fd  11111101
      60    54    36  00110110
      61    53    35  00110101
      62    47    2f  00101111
      63   207    cf  11001111
      64    48    30  00110000
      65    50    32  00110010
      66    52    34  00110100
      67    56    38  00111000
      68    46    2e  00101110
      69    46    2e  00101110
      70    48    30  00110000
      71    48    30  00110000
      72    41    29  00101001
      73    42    2a  00101010
      74    44    2c  00101100
      75    45    2d  00101101
      76    40    28  00101000
      77    40    28  00101000
      78    41    29  00101001
      79    41    29  00101001
      80    39    27  00100111
      81    40    28  00101000
      82    40    28  00101000
      83    40    28  00101000
      84    37    25  00100101
      85    38    26  00100110
      86    39    27  00100111
      87    40    28  00101000
      88    36    24  00100100
      89    36    24  00100100
      90    36    24  00100100
      91    37    25  00100101
      92    35    23  00100011
      93    35    23  00100011
      94    36    24  00100100
      95    35    23  00100011
      96    35    23  00100011
      97    35    23  00100011
      98    36    24  00100100
      99    35    23  00100011
     100    35    23  00100011
     101    35    23  00100011
     102    36    24  00100100
     103    35    23  00100011
     104    35    23  00100011
     105    35    23  00100011
     106    36    24  00100100
     107    35    23  00100011
     108    35    23  00100011
     109    35    23  00100011
     110    36    24  00100100
     111    35    23  00100011
     112    35    23  00100011
     113    35    23  00100011
     114    36    24  00100100
     115    35    23  00100011
     116    35    23  00100011
     117    35    23  00100011
     118    36    24  00100100
     119    35    23  00100011
     120    35    23  00100011
     121    35    23  00100011
     122    36    24  00100100
     123    35    23  00100011
     124    35    23  00100011
     125    35    23  00100011
     126    36    24  00100100
     127    35    23  00100011
     128    35    23  00100011
     129    35    23  00100011
     130    36    24  00100100
     131    35    23  00100011
     132    35    23  00100011
     133    35    23  00100011
     134    36    24  00100100
     135    35    23  00100011
     136    35    23  00100011
     137    35    23  00100011
     138    36    24  00100100
     139    35    23  00100011
     140    35    23  00100011
     141    35    23  00100011
     142    36    24  00100100
     143    35    23  00100011
     144    35    23  00100011
     145    35    23  00100011
     146    36    24  00100100
     147    35    23  00100011
     148    35    23  00100011
     149    35    23  00100011
     150    36    24  00100100
     151    35    23  00100011
     152    35    23  00100011
     153    35    23  00100011
     154    36    24  00100100
     155    35    23  00100011
     156    35    23  00100011
     157    35    23  00100011
     158    36    24  00100100
     159    35    23  00100011
     160    35    23  00100011
     161    35    23  00100011
     162    36    24  00100100
     163    35    23  00100011
     164    35    23  00100011
     165    35    23  00100011
     166    36    24  00100100
     167    35    23  00100011
     168    35    23  00100011
     169    35    23  00100011
     170    36    24  00100100
     171    35    23  00100011
     172    35    23  00100011
     173    35    23  00100011
     174    36    24  00100100
     175    35    23  00100011
     176    35    23  00100011
     177    35    23  00100011
     178    36    24  00100100
     179    35    23  00100011
     180    35    23  00100011
     181    35    23  00100011
     182    36    24  00100100
     183    35    23  00100011
     184    35    23  00100011
     185    35    23  00100011
     186    36    24  00100100
     187    35    23  00100011
     188    35    23  00100011
     189    35    23  00100011
     190    36    24  00100100
     191    35    23  00100011
     192    35    23  00100011
     193    35    23  00100011
     194    36    24  00100100
     195    35    23  00100011
     196    35    23  00100011
     197    35    23  00100011
     198    36    24  00100100
     199    35    23  00100011
     200    35    23  00100011
     201    35    23  00100011
     202    36    24  00100100
     203    35    23  00100011
     204    35    23  00100011
     205    35    23  00100011
     206    36    24  00100100
     207    35    23  00100011
     208    35    23  00100011
     209    35    23  00100011
     210    36    24  00100100
     211    35    23  00100011
     212    35    23  00100011
     213    35    23  00100011
     214    36    24  00100100
     215    35    23  00100011
     216    35    23  00100011
     217    35    23  00100011
     218    36    24  00100100
     219    35    23  00100011
     220    35    23  00100011
     221    35    23  00100011
     222    36    24  00100100
     223    35    23  00100011
     224    35    23  00100011
     225    35    23  00100011
     226    36    24  00100100
     227    35    23  00100011
     228    35    23  00100011
     229    35    23  00100011
     230    36    24  00100100
     231    35    23  00100011
     232    35    23  00100011
     233    35    23  00100011
     234    36    24  00100100
     235    35    23  00100011
     236    35    23  00100011
     237    35    23  00100011
     238    36    24  00100100
     239    35    23  00100011
     240    35    23  00100011
     241    35    23  00100011
     242    36    24  00100100
     243    35    23  00100011
     244    35    23  00100011
     245    35    23  00100011
     246    36    24  00100100
     247    35    23  00100011
     248    35    23  00100011
     249    35    23  00100011
     250    36    24  00100100
     251    35    23  00100011
     252    35    23  00100011
     253    35    23  00100011
     254    36    24  00100100
     255    35    23  00100011
     256    35    23  00100011
     257    35    23  00100011
     258    36    24  00100100
     259    35    23  00100011
     260    35    23  00100011
     261    35    23  00100011
     262    36    24  00100100
     263    35    23  00100011
     264    35    23  00100011
     265    35    23  00100011
     266    36    24  00100100
     267    35    23  00100011
     268    35    23  00100011
     269    35    23  00100011
     270    36    24  00100100
     271    35    23  00100011
     272    35    23  00100011
     273    35    23  00100011
     274    36    24  00100100
     275    35    23  00100011
     276    35    23  00100011
     277    35    23  00100011
     278    36    24  00100100
     279    35    23  00100011
     280    35    23  00100011
     281    35    23  00100011
     282    36    24  00100100
     283    35    23  00100011
     284    35    23  00100011
     285    35    23  00100011
     286    36    24  00100100
     287    35    23  00100011
     288    35    23  00100011
     289    35    23  00100011
     290    36    24  00100100
     291    35    23  00100011
     292    35    23  00100011
     293    35    23  00100011
     294    36    24  00100100
     295    35    23  00100011
     296    35    23  00100011
     297    35    23  00100011
     298    36    24  00100100
     299    35    23  00100011
     300    35    23  00100011
     301    35    23  00100011
     302    36    24  00100100
     303    35    23  00100011
     304    35    23  00100011
     305    35    23  00100011
     306    36    24  00100100
     307    35    23  00100011
     308    35    23  00100011
     309    35    23  00100011
     310    36    24  00100100
     311    35    23  00100011
     312    35    23  00100011
     313    35    23  00100011
     314    36    24  00100100
     315    35    23  00100011
     316    35    23  00100011
     317    35    23  00100011
     318    36    24  00100100
     319    35    23  00100011
     320    35    23  00100011
     321    35    23  00100011
     322    36    24  00100100
     323    35    23  00100011
     324    35    23  00100011
     325    35    23  00100011
     326    36    24  00100100
     327    35    23  00100011
     328    35    23  00100011
     329    35    23  00100011
     330    36    24  00100100
     331    35    23  00100011
     332    35    23  00100011
     333    35    23  00100011
     334    36    24  00100100
     335    35    23  00100011
     336    35    23  00100011
     337    35    23  00100011
     338    36    24  00100100
     339    35    23  00100011
     340    35    23  00100011
     341    35    23  00100011
     342    36    24  00100100
     343    35    23  00100011
     344    35    23  00100011
     345    35    23  00100011
     346    35    23  00100011
     347    35    23  00100011
     348    35    23  00100011
     349    35    23  00100011
     350    36    24  00100100
     351    35    23  00100011
     352    35    23  00100011
     353    35    23  00100011
     354    36    24  00100100
     355    35    23  00100011
     356    35    23  00100011
     357    35    23  00100011
     358    36    24  00100100
     359    35    23  00100011
     360    35    23  00100011
     361    35    23  00100011
     362    36    24  00100100
     363    35    23  00100011
     364    35    23  00100011
     365    35    23  00100011
     366    36    24  00100100
     367    35    23  00100011
     368    35    23  00100011
     369    35    23  00100011
     370    36    24  00100100
     371    35    23  00100011
     372    35    23  00100011
     373    35    23  00100011
     374    36    24  00100100
     375    35    23  00100011
     376    35    23  00100011
     377    35    23  00100011
     378    36    24  00100100
     379    35    23  00100011
     380    35    23  00100011
     381    35    23  00100011
     382    36    24  00100100
     383    35    23  00100011
     384    35    23  00100011
     385    35    23  00100011
     386    36    24  00100100
     387    35    23  00100011
     388    35    23  00100011
     389    35    23  00100011
     390    36    24  00100100
     391    35    23  00100011
     392    35    23  00100011
     393    35    23  00100011
     394    36    24  00100100
     395    35    23  00100011
     396    35    23  00100011
     397    35    23  00100011
     398    36    24  00100100
     399    35    23  00100011
     400    35    23  00100011
     401    35    23  00100011
     402    36    24  00100100
     403    35    23  00100011
     404    35    23  00100011
     405    35    23  00100011
     406    36    24  00100100
     407    35    23  00100011
     408    35    23  00100011
     409    35    23  00100011
     410    36    24  00100100
     411    35    23  00100011
     412    35    23  00100011
     413    35    23  00100011
     414    36    24  00100100
     415    35    23  00100011
     416    35    23  00100011
     417    35    23  00100011
     418    36    24  00100100
     419    35    23  00100011
     420    35    23  00100011
     421    35    23  00100011
     422    36    24  00100100
     423    35    23  00100011
     424    35    23  00100011
     425    35    23  00100011
     426    36    24  00100100
     427    35    23  00100011
     428    35    23  00100011
     429    35    23  00100011
     430    36    24  00100100
     431    35    23  00100011
     432    35    23  00100011
     433    35    23  00100011
     434    36    24  00100100
     435    35    23  00100011
     436    35    23  00100011
     437    35    23  00100011
     438    36    24  00100100
     439    35    23  00100011
     440    35    23  00100011
     441    35    23  00100011
     442    36    24  00100100
     443    35    23  00100011
     444    35    23  00100011
     445    35    23  00100011
     446    36    24  00100100
     447    35    23  00100011
     448    35    23  00100011
     449    35    23  00100011
     450    36    24  00100100
     451    35    23  00100011
     452    35    23  00100011
     453    35    23  00100011
     454    36    24  00100100
     455    35    23  00100011
     456    35    23  00100011
     457    35    23  00100011
     458    36    24  00100100
     459    35    23  00100011
     460    35    23  00100011
     461    35    23  00100011
     462    36    24  00100100
     463    35    23  00100011
     464    35    23  00100011
     465    35    23  00100011
     466    36    24  00100100
     467    35    23  00100011
     468    35    23  00100011
     469    35    23  00100011
     470    36    24  00100100
     471    35    23  00100011
     472    35    23  00100011
     473    35    23  00100011
     474    36    24  00100100
     475    35    23  00100011
     476    35    23  00100011
     477    35    23  00100011
     478    36    24  00100100
     479    35    23  00100011
     480    35    23  00100011
     481    35    23  00100011
     482    36    24  00100100
     483    35    23  00100011
     484    35    23  00100011
     485    35    23  00100011
     486    36    24  00100100
     487    35    23  00100011
     488    35    23  00100011
     489    35    23  00100011
     490    36    24  00100100
     491    35    23  00100011
     492    35    23  00100011
     493    35    23  00100011
     494    36    24  00100100
     495    35    23  00100011
     496    35    23  00100011
     497    35    23  00100011
     498    36    24  00100100
     499    35    23  00100011
     500    35    23  00100011
     501    35    23  00100011
     502    36    24  00100100
     503    35    23  00100011
     504    35    23  00100011
     505    35    23  00100011
     506    36    24  00100100
     507    35    23  00100011
     508    35    23  00100011
     509    35    23  00100011
     510    36    24  00100100
     511    35    23  00100011
     512    35    23  00100011
     513    35    23  00100011
     514    36    24  00100100
     515    35    23  00100011
     516    35    23  00100011
     517    35    23  00100011
     518    36    24  00100100
     519    35    23  00100011
     520    35    23  00100011
     521    35    23  00100011
     522    36    24  00100100
     523    35    23  00100011
     524    35    23  00100011
     525    35    23  00100011
     526    36    24  00100100
     527    35    23  00100011
     528    35    23  00100011
     529    35    23  00100011
     530    36    24  00100100
     531    35    23  00100011
     532    35    23  00100011
     533    35    23  00100011
     534    36    24  00100100
     535    35    23  00100011
     536    35    23  00100011
     537    35    23  00100011
     538    36    24  00100100
     539    35    23  00100011
     540    35    23  00100011
     541    35    23  00100011
     542    36    24  00100100
     543    35    23  00100011
     544    35    23  00100011
     545    35    23  00100011
     546    36    24  00100100
     547    35    23  00100011
     548    35    23  00100011
     549    35    23  00100011
     550    36    24  00100100
     551    35    23  00100011
     552    35    23  00100011
     553    35    23  00100011
     554    36    24  00100100
     555    35    23  00100011
     556    35    23  00100011
     557    35    23  00100011
     558    36    24  00100100
     559    35    23  00100011
     560    35    23  00100011
     561    35    23  00100011
     562    36    24  00100100
     563    35    23  00100011
     564    35    23  00100011
     565    35    23  00100011
     566    36    24  00100100
     567    35    23  00100011
     568    35    23  00100011
     569    35    23  00100011
     570    36    24  00100100
     571    35    23  00100011
     572    35    23  00100011
     573    35    23  00100011
     574    36    24  00100100
     575    35    23  00100011
     576    35    23  00100011
     577    35    23  00100011
     578    36    24  00100100
     579    35    23  00100011
     580    35    23  00100011
     581    35    23  00100011
     582    36    24  00100100
     583    35    23  00100011
     584    35    23  00100011
     585    35    23  00100011
     586    36    24  00100100
     587    35    23  00100011
     588    35    23  00100011
     589    35    23  00100011
     590    36    24  00100100
     591    35    23  00100011
     592    35    23  00100011
     593    35    23  00100011
     594    36    24  00100100
     595    35    23  00100011
     596    35    23  00100011
     597    35    23  00100011
     598    36    24  00100100
     599    35    23  00100011
     600    35    23  00100011
     601    35    23  00100011
     602    36    24  00100100
     603    35    23  00100011
     604    35    23  00100011
     605    35    23  00100011
     606    36    24  00100100
     607    35    23  00100011
     608    35    23  00100011
     609    35    23  00100011
     610    36    24  00100100
     611    35    23  00100011
     612    35    23  00100011
     613    35    23  00100011
     614    36    24  00100100
     615    35    23  00100011
     616    35    23  00100011
     617    35    23  00100011
     618    36    24  00100100
     619    35    23  00100011
     620    35    23  00100011
     621    35    23  00100011
     622    36    24  00100100
     623    35    23  00100011
     624    35    23  00100011
     625    35    23  00100011
     626    36    24  00100100
     627    36    24  00100100
     628    35    23  00100011
     629    35    23  00100011
     630    36    24  00100100
     631    35    23  00100011
     632    35    23  00100011
     633    35    23  00100011
     634    36    24  00100100
     635    36    24  00100100
     636    35    23  00100011
     637    35    23  00100011
     638    36    24  00100100
     639    35    23  00100011
     640    35    23  00100011
     641    35    23  00100011
     642    36    24  00100100
     643    36    24  00100100
     644    35    23  00100011
     645    35    23  00100011
     646    36    24  00100100
     647    35    23  00100011
     648    35    23  00100011
     649    35    23  00100011
     650    36    24  00100100
     651    36    24  00100100
     652    35    23  00100011
     653    35    23  00100011
     654    36    24  00100100
     655    35    23  00100011
     656    35    23  00100011
     657    35    23  00100011
     658    36    24  00100100
     659    35    23  00100011
     660    35    23  00100011
     661    35    23  00100011
     662    36    24  00100100
     663    35    23  00100011
     664    35    23  00100011
     665    35    23  00100011
     666    36    24  00100100
     667    35    23  00100011
     668    35    23  00100011
     669    35    23  00100011
     670    36    24  00100100
     671    35    23  00100011
     672    35    23  00100011
     673    35    23  00100011
     674    36    24  00100100
     675    36    24  00100100
     676    35    23  00100011
     677    35    23  00100011
     678    36    24  00100100
     679    35    23  00100011
     680    35    23  00100011
     681    35    23  00100011
     682    36    24  00100100
     683    36    24  00100100
     684    35    23  00100011
     685    35    23  00100011
     686    36    24  00100100
     687    35    23  00100011
     688    35    23  00100011
     689    35    23  00100011
     690    36    24  00100100
     691    36    24  00100100
     692    35    23  00100011
     693    35    23  00100011
     694    36    24  00100100
     695    35    23  00100011
     696    35    23  00100011
     697    35    23  00100011
     698    36    24  00100100
     699    36    24  00100100
     700    35    23  00100011
     701    35    23  00100011
     702    36    24  00100100
     703    35    23  00100011
     704    35    23  00100011
     705    35    23  00100011
     706    36    24  00100100
     707    36    24  00100100
     708    35    23  00100011
     709    35    23  00100011
     710    36    24  00100100
     711    35    23  00100011
     712    35    23  00100011
     713    35    23  00100011
     714    36    24  00100100
     715    36    24  00100100
     716    35    23  00100011
     717    35    23  00100011
     718    36    24  00100100
     719    35    23  00100011
     720    35    23  00100011
     721    35    23  00100011
     722    36    24  00100100
     723    36    24  00100100
     724    35    23  00100011
     725    35    23  00100011
     726    36    24  00100100
     727    35    23  00100011
     728    35    23  00100011
     729    35    23  00100011
     730    36    24  00100100
     731    36    24  00100100
     732    35    23  00100011
     733    35    23  00100011
     734    36    24  00100100
     735    35    23  00100011
     736    35    23  00100011
     737    35    23  00100011
     738    36    24  00100100
     739    35    23  00100011
     740    35    23  00100011
     741    35    23  00100011
     742    36    24  00100100
     743    35    23  00100011
     744    35    23  00100011
     745    35    23  00100011
     746    36    24  00100100
     747    35    23  00100011
     748    35    23  00100011
     749    35    23  00100011
     750    36    24  00100100
     751    35    23  00100011
     752    35    23  00100011
     753    35    23  00100011
     754    36    24  00100100
     755    35    23  00100011
     756    35    23  00100011
     757    35    23  00100011
     758    36    24  00100100
     759    35    23  00100011
     760    35    23  00100011
     761    35    23  00100011
     762    36    24  00100100
     763    36    24  00100100
     764    35    23  00100011
     765    35    23  00100011
     766    36    24  00100100
     767    35    23  00100011
     768    35    23  00100011
     769    35    23  00100011
     770    36    24  00100100
     771    36    24  00100100
     772    35    23  00100011
     773    35    23  00100011
     774    36    24  00100100
     775    35    23  00100011
     776    35    23  00100011
     777    35    23  00100011
     778    36    24  00100100
     779    36    24  00100100
     780    35    23  00100011
     781    35    23  00100011
     782    36    24  00100100
     783    35    23  00100011
     784    35    23  00100011
     785    35    23  00100011
     786    36    24  00100100
     787    35    23  00100011
     788    35    23  00100011
     789    35    23  00100011
     790    36    24  00100100
     791    35    23  00100011
     792    35    23  00100011
     793    35    23  00100011
     794    36    24  00100100
     795    36    24  00100100
     796    35    23  00100011
     797    35    23  00100011
     798    36    24  00100100
     799    35    23  00100011
     800    35    23  00100011
     801    35    23  00100011
     802    36    24  00100100
     803    35    23  00100011
     804    35    23  00100011
     805    35    23  00100011
     806    36    24  00100100
     807    35    23  00100011
     808    35    23  00100011
     809    35    23  00100011
     810    36    24  00100100
     811    35    23  00100011
     812    35    23  00100011
     813    35    23  00100011
     814    36    24  00100100
     815    35    23  00100011
     816    35    23  00100011
     817    35    23  00100011
     818    36    24  00100100
     819    35    23  00100011
     820    35    23  00100011
     821    35    23  00100011
     822    36    24  00100100
     823    35    23  00100011
     824    35    23  00100011
     825    35    23  00100011
     826    36    24  00100100
     827    36    24  00100100
     828    35    23  00100011
     829    35    23  00100011
     830    36    24  00100100
     831    35    23  00100011
     832    35    23  00100011
     833    35    23  00100011
     834    36    24  00100100
     835    35    23  00100011
     836    35    23  00100011
     837    35    23  00100011
     838    36    24  00100100
     839    35    23  00100011
     840    35    23  00100011
     841    35    23  00100011
     842    36    24  00100100
     843    35    23  00100011
     844    35    23  00100011
     845    35    23  00100011
     846    36    24  00100100
     847    35    23  00100011
     848    35    23  00100011
     849    35    23  00100011
     850    36    24  00100100
     851    35    23  00100011
     852    35    23  00100011
     853    35    23  00100011
     854    36    24  00100100
     855    35    23  00100011
     856    35    23  00100011
     857    35    23  00100011
     858    36    24  00100100
     859    36    24  00100100
     860    35    23  00100011
     861    35    23  00100011
     862    36    24  00100100
     863    35    23  00100011
     864    35    23  00100011
     865    35    23  00100011
     866    36    24  00100100
     867    36    24  00100100
     868    35    23  00100011
     869    35    23  00100011
     870    36    24  00100100
     871    35    23  00100011
     872    35    23  00100011
     873    35    23  00100011
     874    36    24  00100100
     875    36    24  00100100
     876    35    23  00100011
     877    35    23  00100011
     878    36    24  00100100
     879    35    23  00100011
     880    35    23  00100011
     881    35    23  00100011
     882    36    24  00100100
     883    35    23  00100011
     884    35    23  00100011
     885    35    23  00100011
     886    36    24  00100100
     887    35    23  00100011
     888    35    23  00100011
     889    35    23  00100011
     890    36    24  00100100
     891    36    24  00100100
     892    35    23  00100011
     893    35    23  00100011
     894    36    24  00100100
     895    35    23  00100011
     896    35    23  00100011
     897    35    23  00100011
     898    36    24  00100100
     899    36    24  00100100
     900    35    23  00100011
     901    35    23  00100011
     902    36    24  00100100
     903    35    23  00100011
     904    35    23  00100011
     905    35    23  00100011
     906    36    24  00100100
     907    36    24  00100100
     908    35    23  00100011
     909    35    23  00100011
     910    36    24  00100100
     911    35    23  00100011
     912    35    23  00100011
     913    35    23  00100011
     914    36    24  00100100
     915    36    24  00100100
     916    35    23  00100011
     917    35    23  00100011
     918    36    24  00100100
     919    35    23  00100011
     920    35    23  00100011
     921    35    23  00100011
     922    36    24  00100100
     923    36    24  00100100
     924    35    23  00100011
     925    35    23  00100011
     926    36    24  00100100
     927    36    24  00100100
     928    35    23  00100011
     929    35    23  00100011
     930    36    24  00100100
     931    36    24  00100100
     932    35    23  00100011
     933    35    23  00100011
     934    36    24  00100100
     935    35    23  00100011
     936    35    23  00100011
     937    35    23  00100011
     938    36    24  00100100
     939    35    23  00100011
     940    35    23  00100011
     941    35    23  00100011
     942    36    24  00100100
     943    35    23  00100011
     944    35    23  00100011
     945    35    23  00100011
     946    36    24  00100100
     947    36    24  00100100
     948    35    23  00100011
     949    35    23  00100011
     950    36    24  00100100
     951    35    23  00100011
     952    35    23  00100011
     953    35    23  00100011
     954    36    24  00100100
     955    36    24  00100100
     956    35    23  00100011
     957    35    23  00100011
     958    36    24  00100100
     959    35    23  00100011
     960    35    23  00100011
     961    35    23  00100011
     962    36    24  00100100
     963    36    24  00100100
     964    35    23  00100011
     965    35    23  00100011
     966    36    24  00100100
     967    35    23  00100011
     968    35    23  00100011
     969    35    23  00100011
     970    36    24  00100100
     971    36    24  00100100
     972    35    23  00100011
     973    35    23  00100011
     974    36    24  00100100
     975    35    23  00100011
     976    35    23  00100011
     977    35    23  00100011
     978    36    24  00100100
     979    36    24  00100100
     980    35    23  00100011
     981    35    23  00100011
     982    36    24  00100100
     983    35    23  00100011
     984    35    23  00100011
     985    35    23  00100011
     986    36    24  00100100
     987    35    23  00100011
     988    35    23  00100011
     989    35    23  00100011
