File: cap_01_11_49_55_01.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
     281     7     7  00000111
     282     6     6  00000110
     283     6     6  00000110
     284     6     6  00000110
     285     7     7  00000111
     286     6     6  00000110
     287     6     6  00000110
     288     6     6  00000110
     289     6     6  00000110
     290     6     6  00000110
     291     6     6  00000110
     292     6     6  00000110
     293     7     7  00000111
     294     6     6  00000110
     295     6     6  00000110
     296     7     7  00000111
     297     7     7  00000111
     298     6     6  00000110
     299     6     6  00000110
     300     6     6  00000110
     301     7     7  00000111
     302     6     6  00000110
     303     6     6  00000110
     304     7     7  00000111
     305     6     6  00000110
     306     6     6  00000110
     307     6     6  00000110
     308     6     6  00000110
     309     7     7  00000111
     310     6     6  00000110
     311     6     6  00000110
     312     6     6  00000110
     313     6     6  00000110
     314     6     6  00000110
     315     6     6  00000110
     316     6     6  00000110
     317     7     7  00000111
     318     6     6  00000110
     319     6     6  00000110
     320     7     7  00000111
     321     7     7  00000111
     322     6     6  00000110
     323     6     6  00000110
     324     6     6  00000110
     325     7     7  00000111
     326     6     6  00000110
     327     6     6  00000110
     328     6     6  00000110
     329     7     7  00000111
     330     6     6  00000110
     331     6     6  00000110
     332     6     6  00000110
     333     7     7  00000111
     334     6     6  00000110
     335     6     6  00000110
     336     7     7  00000111
     337     7     7  00000111
     338     6     6  00000110
     339     6     6  00000110
     340     6     6  00000110
     341     7     7  00000111
     342     6     6  00000110
     343     6     6  00000110
     344     6     6  00000110
     345     6     6  00000110
     346     6     6  00000110
     347     6     6  00000110
     348     6     6  00000110
     349     7     7  00000111
     350     6     6  00000110
     351     6     6  00000110
     352     7     7  00000111
     353     7     7  00000111
     354     6     6  00000110
     355     6     6  00000110
     356     6     6  00000110
     357     7     7  00000111
     358     6     6  00000110
     359     6     6  00000110
     360     7     7  00000111
     361     6     6  00000110
     362     6     6  00000110
     363     6     6  00000110
     364     6     6  00000110
     365     7     7  00000111
     366     6     6  00000110
     367     6     6  00000110
     368     7     7  00000111
     369     7     7  00000111
     370     6     6  00000110
     371     6     6  00000110
     372     6     6  00000110
     373     7     7  00000111
     374     6     6  00000110
     375     6     6  00000110
     376     6     6  00000110
     377     7     7  00000111
     378     6     6  00000110
     379     6     6  00000110
     380     6     6  00000110
     381     7     7  00000111
     382     6     6  00000110
     383     6     6  00000110
     384     7     7  00000111
     385     7     7  00000111
     386     6     6  00000110
     387     6     6  00000110
     388     6     6  00000110
     389     7     7  00000111
     390     6     6  00000110
     391     6     6  00000110
     392     7     7  00000111
     393     7     7  00000111
     394     6     6  00000110
     395     6     6  00000110
     396     6     6  00000110
     397     7     7  00000111
     398     6     6  00000110
     399     6     6  00000110
     400     7     7  00000111
     401     6     6  00000110
     402     6     6  00000110
     403     6     6  00000110
     404     6     6  00000110
     405     7     7  00000111
     406     6     6  00000110
     407     6     6  00000110
     408     7     7  00000111
     409     6     6  00000110
     410     6     6  00000110
     411     6     6  00000110
     412     6     6  00000110
     413     7     7  00000111
     414     6     6  00000110
     415     6     6  00000110
     416     7     7  00000111
     417     6     6  00000110
     418     6     6  00000110
     419     6     6  00000110
     420     6     6  00000110
     421     7     7  00000111
     422     6     6  00000110
     423     6     6  00000110
     424     7     7  00000111
     425     6     6  00000110
     426     6     6  00000110
     427     6     6  00000110
     428     6     6  00000110
     429     7     7  00000111
     430     6     6  00000110
     431     6     6  00000110
     432     7     7  00000111
     433     7     7  00000111
     434     6     6  00000110
     435     6     6  00000110
     436     6     6  00000110
     437     7     7  00000111
     438     6     6  00000110
     439     6     6  00000110
     440     7     7  00000111
     441     6     6  00000110
     442     6     6  00000110
     443     6     6  00000110
     444     6     6  00000110
     445     7     7  00000111
     446     6     6  00000110
     447     6     6  00000110
     448     7     7  00000111
     449     6     6  00000110
     450     6     6  00000110
     451     6     6  00000110
     452     6     6  00000110
     453     7     7  00000111
     454     6     6  00000110
     455     6     6  00000110
     456     7     7  00000111
     457     7     7  00000111
     458     6     6  00000110
     459     6     6  00000110
     460     6     6  00000110
     461     7     7  00000111
     462     6     6  00000110
     463     6     6  00000110
     464     7     7  00000111
     465     6     6  00000110
     466     6     6  00000110
     467     6     6  00000110
     468     6     6  00000110
     469     7     7  00000111
     470     6     6  00000110
     471     6     6  00000110
     472     7     7  00000111
     473     6     6  00000110
     474     6     6  00000110
     475     6     6  00000110
     476     6     6  00000110
     477     7     7  00000111
     478     6     6  00000110
     479     6     6  00000110
     480     6     6  00000110
     481     7     7  00000111
     482     6     6  00000110
     483     6     6  00000110
     484     6     6  00000110
     485     7     7  00000111
     486     6     6  00000110
     487     6     6  00000110
     488     7     7  00000111
     489     7     7  00000111
     490     6     6  00000110
     491     6     6  00000110
     492     6     6  00000110
     493     7     7  00000111
     494     6     6  00000110
     495     6     6  00000110
     496     6     6  00000110
     497     6     6  00000110
     498     6     6  00000110
     499     6     6  00000110
     500     6     6  00000110
     501     7     7  00000111
     502     6     6  00000110
     503     6     6  00000110
     504     6     6  00000110
