File: cap_01_11_49_55_02.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0    74    4a  01001010
       1   220    dc  11011100
       2   220    dc  11011100
       3   220    dc  11011100
       4   164    a4  10100100
       5   255    ff  11111111
       6   159    9f  10011111
       7   159    9f  10011111
       8   250    fa  11111010
       9     0     0  00000000
      10   253    fd  11111101
      11   255    ff  11111111
      12   250    fa  11111010
      13   255    ff  11111111
      14   253    fd  11111101
      15     0     0  00000000
      16   250    fa  11111010
      17   255    ff  11111111
      18     0     0  00000000
      19   255    ff  11111111
      20   250    fa  11111010
      21   255    ff  11111111
      22   253    fd  11111101
      23     0     0  00000000
      24   254    fe  11111110
      25   255    ff  11111111
      26   253    fd  11111101
      27   251    fb  11111011
      28   250    fa  11111010
      29   255    ff  11111111
      30   253    fd  11111101
      31   247    f7  11110111
      32   250    fa  11111010
      33   255    ff  11111111
      34   253    fd  11111101
      35   247    f7  11110111
      36   254    fe  11111110
      37   255    ff  11111111
      38   253    fd  11111101
      39   245    f5  11110101
      40   250    fa  11111010
      41   255    ff  11111111
      42   253    fd  11111101
      43   255    ff  11111111
      44   254    fe  11111110
      45   255    ff  11111111
      46   253    fd  11111101
      47   245    f5  11110101
      48   250    fa  11111010
      49   255    ff  11111111
      50   253    fd  11111101
      51   251    fb  11111011
      52   254    fe  11111110
      53   255    ff  11111111
      54   253    fd  11111101
      55   245    f5  11110101
      56   223    df  11011111
      57   255    ff  11111111
      58   221    dd  11011101
      59   245    f5  11110101
      60   117    75  01110101
      61   117    75  01110101
      62   114    72  01110010
      63   113    71  01110001
      64   117    75  01110101
      65   117    75  01110101
      66   117    75  01110101
      67   117    75  01110101
      68   118    76  01110110
      69   118    76  01110110
      70   117    75  01110101
      71   117    75  01110101
      72   118    76  01110110
      73   118    76  01110110
      74   117    75  01110101
      75   118    76  01110110
      76   118    76  01110110
      77   118    76  01110110
      78   117    75  01110101
      79   117    75  01110101
      80   118    76  01110110
      81   118    76  01110110
      82   117    75  01110101
      83   118    76  01110110
      84   118    76  01110110
      85   118    76  01110110
      86   118    76  01110110
      87   118    76  01110110
      88   119    77  01110111
      89   119    77  01110111
      90   119    77  01110111
      91   118    76  01110110
      92   119    77  01110111
      93   119    77  01110111
      94   118    76  01110110
      95   119    77  01110111
      96   119    77  01110111
      97   119    77  01110111
      98   119    77  01110111
      99   119    77  01110111
     100   119    77  01110111
     101   119    77  01110111
     102   119    77  01110111
     103   119    77  01110111
     104   120    78  01111000
     105   119    77  01110111
     106   119    77  01110111
     107   119    77  01110111
     108   120    78  01111000
     109   119    77  01110111
     110   120    78  01111000
     111   119    77  01110111
     112   120    78  01111000
     113   119    77  01110111
     114   119    77  01110111
     115   119    77  01110111
     116   121    79  01111001
     117   120    78  01111000
     118   119    77  01110111
     119   119    77  01110111
     120   121    79  01111001
     121   120    78  01111000
     122   120    78  01111000
     123   120    78  01111000
     124   121    79  01111001
     125   120    78  01111000
     126   120    78  01111000
     127   120    78  01111000
     128   121    79  01111001
     129   120    78  01111000
     130   120    78  01111000
     131   121    79  01111001
     132   121    79  01111001
     133   121    79  01111001
     134   120    78  01111000
     135   120    78  01111000
     136   121    79  01111001
     137   120    78  01111000
     138   120    78  01111000
     139   121    79  01111001
     140   121    79  01111001
     141   121    79  01111001
     142   121    79  01111001
     143   121    79  01111001
     144   121    79  01111001
     145   121    79  01111001
     146   121    79  01111001
     147   122    7a  01111010
     148   122    7a  01111010
     149   121    79  01111001
     150   121    79  01111001
     151   122    7a  01111010
     152   122    7a  01111010
     153   121    79  01111001
     154   121    79  01111001
     155   122    7a  01111010
     156   122    7a  01111010
     157   122    7a  01111010
     158   121    79  01111001
     159   122    7a  01111010
     160   122    7a  01111010
     161   122    7a  01111010
     162   122    7a  01111010
     163   122    7a  01111010
     164   122    7a  01111010
     165   122    7a  01111010
     166   122    7a  01111010
     167   122    7a  01111010
     168   123    7b  01111011
     169   123    7b  01111011
     170   122    7a  01111010
     171   122    7a  01111010
     172   122    7a  01111010
     173   122    7a  01111010
     174   123    7b  01111011
     175   122    7a  01111010
     176   123    7b  01111011
     177   123    7b  01111011
     178   123    7b  01111011
     179   123    7b  01111011
     180   123    7b  01111011
     181   123    7b  01111011
     182   123    7b  01111011
     183   122    7a  01111010
     184   123    7b  01111011
     185   124    7c  01111100
     186   123    7b  01111011
     187   123    7b  01111011
     188   124    7c  01111100
     189   124    7c  01111100
     190   123    7b  01111011
     191   123    7b  01111011
     192   124    7c  01111100
     193   124    7c  01111100
     194   123    7b  01111011
     195   124    7c  01111100
     196   124    7c  01111100
     197   124    7c  01111100
     198   124    7c  01111100
     199   123    7b  01111011
     200   124    7c  01111100
     201   124    7c  01111100
     202   124    7c  01111100
     203   124    7c  01111100
     204   124    7c  01111100
     205   124    7c  01111100
     206   124    7c  01111100
     207   124    7c  01111100
     208   125    7d  01111101
     209   125    7d  01111101
     210   124    7c  01111100
     211   125    7d  01111101
     212   125    7d  01111101
     213   125    7d  01111101
     214   125    7d  01111101
     215   125    7d  01111101
     216   125    7d  01111101
     217   125    7d  01111101
     218   125    7d  01111101
     219   125    7d  01111101
     220   125    7d  01111101
     221   125    7d  01111101
     222   125    7d  01111101
     223   125    7d  01111101
     224   125    7d  01111101
     225   125    7d  01111101
     226   125    7d  01111101
     227   125    7d  01111101
     228   125    7d  01111101
     229   125    7d  01111101
     230   126    7e  01111110
     231   126    7e  01111110
     232   126    7e  01111110
     233   126    7e  01111110
     234   125    7d  01111101
     235   126    7e  01111110
     236   126    7e  01111110
     237   126    7e  01111110
     238   126    7e  01111110
     239   126    7e  01111110
     240   126    7e  01111110
     241   126    7e  01111110
     242   125    7d  01111101
     243   126    7e  01111110
     244   126    7e  01111110
     245   127    7f  01111111
     246   126    7e  01111110
     247   126    7e  01111110
     248   127    7f  01111111
     249   126    7e  01111110
     250   126    7e  01111110
     251   126    7e  01111110
     252   127    7f  01111111
     253   126    7e  01111110
     254   126    7e  01111110
     255   126    7e  01111110
     256   127    7f  01111111
     257   127    7f  01111111
     258   127    7f  01111111
     259   127    7f  01111111
     260   126    7e  01111110
     261   127    7f  01111111
     262   127    7f  01111111
     263   127    7f  01111111
     264   127    7f  01111111
     265   127    7f  01111111
     266   127    7f  01111111
     267   127    7f  01111111
     268   127    7f  01111111
     269   127    7f  01111111
     270   127    7f  01111111
     271   127    7f  01111111
     272   128    80  10000000
     273   127    7f  01111111
     274   127    7f  01111111
     275   128    80  10000000
     276   127    7f  01111111
     277   127    7f  01111111
     278   128    80  10000000
     279   127    7f  01111111
     280   128    80  10000000
     281   128    80  10000000
     282   127    7f  01111111
     283   128    80  10000000
     284   128    80  10000000
     285   128    80  10000000
     286   128    80  10000000
     287   127    7f  01111111
     288   128    80  10000000
     289   128    80  10000000
     290   128    80  10000000
     291   128    80  10000000
     292   128    80  10000000
     293   128    80  10000000
     294   128    80  10000000
     295   128    80  10000000
     296   128    80  10000000
